Kyra,root,0,0,0,0,0,170,165,195,185,222,219,213,254,0,0,0,0,0,0,0,0,0
Larissa,root,0,0,0,0,0,0,0,0,0,0,0,0,0,180,211,200,249,238,201,270,221,0
Linde,root,177,0,203,195,161,171,176,166,208,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan,root,179,204,221,242,262,243,184,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vince,root,379,240,231,220,217,203,204,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,222,249,303,330,355,357
Jessica,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,195,261,423,414,342,345
Judith,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,205,253,256,249,284,274
Kimberley,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,266,264,273,300,420,377
Linda,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,229,246,252,315,415,447
Rianne,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,187,205,196,222,266,214
Robert,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,246,262,321,410,456,522
Samantha,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,194,202,268,363,407,372
Dominique,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,245,195,231,221,230,205
Ashley,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,215,223,210,224,221,289
Maxime,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,223,180,216,201,222,226
Adam,root,343,360,344,304,208,239,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthe,root,257,260,195,184,169,203,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elin,root,344,369,437,427,422,254,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fay,root,216,221,217,277,255,185,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feline,root,310,278,321,313,259,233,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiene,root,184,173,186,210,234,189,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guusje,root,0,0,0,170,201,188,199,192,215,195,0,0,0,0,0,0,0,0,0,0,0,0
Jochem,root,0,0,0,0,0,0,0,0,189,187,201,214,257,233,206,0,0,0,0,0,0,0
Jurre,root,327,313,256,243,286,330,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam,root,602,539,496,519,429,246,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mick,root,192,210,225,196,0,211,175,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siem,root,450,426,413,404,301,218,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suze,root,222,207,177,183,180,161,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tobias,root,217,195,205,213,184,202,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,222,268,289,303,329
Marco,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,208,227,277,321,292
Nathalie,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,198,190,275,286,297
Nicole,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,204,230,284,327,302
Sabine,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,196,229,176,187,0,197
Steven,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,204,223,243,299,284
