Testing,Parent,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tajikistan,OtherAreas(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5464.0,5571.0,5638.0,5745.0,5836.0,5919.0,5919.0,5938.60888671875,6064.0478515625,6188.3662109375,6312.755859375,6441.0087890625,6573.22412109375,6710.1611328125,6850.32421875,6992.06591796875,7139.77197265625,7294.7470703125,7334.0830078125,7519.27978515625,7714.1982421875,7897.31298828125,8074.26611328125,8256.572265625,8451.599609375,8640.7001953125
Monaco,WesternEurope,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,31.986000061035156,31.986000061035156,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,33.268001556396484,35.499000549316406,35.763999938964844,36.125999450683594,36.04999923706055,36.95000076293945,36.900001525878906,37.599998474121094,38.20000076293945
Moldova,EasternEurope(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4363.0,4348.0,4348.0,4348.0,4348.0,4327.0,3654.2080078125,3652.740966796875,3647.0009765625,3639.592041015625,3631.4619140625,3623.06201171875,3612.8740234375,3603.93994140625,3595.18701171875,3585.208984375,3576.909912109375,3570.10791015625,3565.60400390625,3562.044921875,3559.986083984375,3559.52001953125,3558.56591796875,3557.327880859375,3555.158935546875,3553.10009765625
Switzerland,WesternEurope,6405.0,6346.0,6327.0,6333.0,6351.0,6319.0,6354.0,6391.0,6419.0,6442.0,6470.0,6504.0,6545.0,6593.0,6647.0,6712.0,6800.0,6875.0,6938.0,6994.0,7041.0,7081.0,7088.90576171875,7110.001953125,7143.9912109375,7184.25,7226.64697265625,7284.75390625,7339.001953125,7389.6259765625,7437.1162109375,7483.93505859375,7551.1171875,7647.6748046875,7743.83203125,7824.9091796875,7912.39794921875,7996.86083984375,8089.34619140625,8188.64892578125,8282.396484375,8327.1259765625
SouthernEurope,root,133682.0,134941.0,135724.0,136779.0,137793.0,138766.0,139451.0,140102.0,140919.0,141613.0,142078.0,142559.0,142994.0,143410.0,143711.0,144108.0,143442.0,143273.0,143983.0,144089.0,143787.0,143355.0,143806.36046028137,143909.5925796032,144364.2878882885,144769.66540408134,145438.4568850994,143841.32948374748,145083.43780970573,145961.22877001762,147036.94980883598,147824.30773425102,149010.4523742199,150150.03256297112,150821.25775027275,151149.01045319438,151324.93625733256,151366.7181585133,151707.9115255177,151974.38523843884,151761.89643076062,151227.56462860107
Azerbaijan,OtherAreas(post-USSR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7271.0,7382.0,7495.0,7597.0,7685.0,7763.0,7838.2998046875,7913.0,7982.7998046875,8048.60009765625,8152.7998046875,8230.2998046875,8309.2001953125,8398.2998046875,8500.2998046875,8609.599609375,8723.0,8838.5,8947.2998046875,9054.2998046875,9173.099609375,9295.7841796875,9416.7998046875,9528.900390625,9649.3408203125,9755.5
Greece,SouthernEurope,9047.0,9167.0,9268.0,9360.0,9449.0,9643.0,9729.0,9790.0,9847.0,9896.0,9934.0,9967.0,10001.0,10037.0,10090.0,10161.0,10247.0,10322.0,10379.0,10426.0,10634.0,10709.0,10776.53125,10834.91015625,10882.607421875,10917.45703125,10949.953125,10987.55859375,11023.5322265625,11055.728515625,11092.9130859375,11020.392578125,11048.4990234375,11077.86328125,11107.0244140625,11121.3828125,11104.9951171875,11045.0400390625,10965.2412109375,10892.369140625,10820.9638671875,10783.748046875
OtherAreas(post-USSR),root,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67334.0,68538.0,69388.0,68886.0,69115.0,69480.0,69719.8056640625,70354.14306640625,70324.20166015625,71185.71630859375,71764.30395507812,72342.05688476562,72966.98095703125,73461.99731445312,74228.34301757812,75174.99438476562,76222.20703125,77170.52807617188,78303.337890625,79738.33056640625,80933.26025390625,82005.2236328125,83122.455078125,83404.47192382812,84363.54248046875,85310.08715820312
Italy,SouthernEurope,55441.0,55701.0,55955.0,56155.0,56318.0,56434.0,56508.0,56639.0,56836.0,57005.0,57141.0,57246.0,57345.0,57441.0,57541.0,57661.0,56751.0,56859.0,57049.0,57204.0,56844.0,56860.0,56890.37109375,56906.7421875,56916.31640625,56942.109375,56977.21875,57157.40625,57604.65625,57685.328125,57969.484375,58143.98046875,58438.30859375,58826.73046875,59095.36328125,59277.41796875,59379.44921875,59539.71875,60233.94921875,60789.140625,60795.61328125,60665.55078125
NorthernEurope(pre-USSR),root,81809.0,81932.0,82058.0,82142.0,82321.0,82493.0,82603.0,82643.0,82755.0,82986.0,83227.0,83458.0,83689.0,83922.0,84200.0,84502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
